date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-01-29,2026,1,29,326,Bucknell,Bucknell,Pat,22.0,6-16,98.2336,113.1266,0.1646326,66.4221,-11.8342,47.9303,56.2338,19.7327,18.3101,27.2291,30.7165,30.7289,36.421,48.8279,55.0293,31.2298,38.5355,43.6102,44.3316
2026-01-29,2026,1,29,327,Oral Roberts,Oral Roberts,Sum,22.0,5-17,99.8317,115.1297,0.1619327,66.8203,-12.6354,48.6286,55.0312,19.5318,15.6267,27.2291,34.9323,35.8182,39.9287,50.3224,53.325,31.0308,38.7357,46.045,35.864
2026-01-29,2026,1,29,328,Norfolk St.,Norfolk St.,MEAC,23.0,10-13,99.1327,114.7286,0.1577328,67.6165,-9.7311,48.0301,50.9164,19.0295,18.0115,31.5164,32.3245,43.928,43.5324,46.832,55.3299,33.9185,30.13,30.5347,43.0288
2026-01-29,2026,1,29,329,Prairie View A&M,Prairie View A&M,SWAC,21.0,8-13,100.531,116.431,0.1566329,72.115,-9.2303,46.8324,54.0281,16.8155,19.941,25.4332,36.835,43.532,47.7356,45.9333,53.2247,32.7232,37.1327,30.6345,35.97
2026-01-29,2026,1,29,330,Holy Cross,Holy Cross,Pat,22.0,8-14,100.9308,116.9318,0.154833,64.6313,-10.4329,50.3211,54.8306,16.8155,14.5323,21.1361,28.268,30.3298,27.525,51.8168,58.7352,32.0257,32.4105,39.4189,38.8154
2026-01-29,2026,1,29,331,Army,Army,Pat,22.0,9-13,104.0258,121.0353,0.1488331,66.1241,-10.1318,50.2222,55.9334,16.5138,14.6315,28.7252,27.648,27.9336,36.9219,50.4222,57.1329,33.3208,36.2293,51.78,43.8307
2026-01-29,2026,1,29,332,Manhattan,Manhattan,MAAC,22.0,8-14,103.3266,120.4348,0.1466332,68.113,-10.3325,47.4316,55.0312,15.791,16.9186,27.8279,38.1359,33.9221,24.19,46.9318,53.9267,32.2245,37.9344,35.4265,38.0132
2026-01-29,2026,1,29,333,Southern Indiana,Southern Indiana,OVC,20.0,5-15,94.7357,110.3209,0.1466333,68.4117,-12.8355,44.6356,48.571,17.2188,16.322,29.0242,31.822,35.7184,36.0196,44.1355,48.468,30.1329,32.7118,43.3109,27.52
2026-01-29,2026,1,29,334,Maryland Eastern Shore,Maryland Eastern Shore,MEAC,21.0,8-13,96.2349,112.2252,0.1463334,63.1353,-7.6258,47.0322,50.3136,22.6362,17.5151,29.821,34.4318,28.6325,40.029,49.6247,51.8187,28.1356,32.196,35.0273,41.5241
2026-01-29,2026,1,29,335,Loyola MD,Loyola MD,Pat,22.0,8-14,102.4285,119.8345,0.1415335,68.0141,-11.5341,50.3211,54.4294,17.3196,16.0243,28.7252,29.713,33.0243,32.6104,52.1157,57.2332,32.2245,33.3141,47.135,38.8154
2026-01-29,2026,1,29,336,Fairleigh Dickinson,Fairleigh Dickinson,NEC,21.0,7-14,101.3303,118.6338,0.1405336,65.5275,-10.1319,46.4334,57.1351,17.9234,16.8194,31.0174,28.683,34.6199,37.9241,47.6304,55.8309,30.1329,39.2359,48.723,42.2268
2026-01-29,2026,1,29,337,NJIT,NJIT,AE,21.0,9-12,97.3342,114.0278,0.1393337,68.3124,-8.027,45.7343,50.8159,18.2251,15.5275,25.8326,32.927,34.3213,39.3278,44.7349,51.417,31.3292,33.3141,42.7124,40.8222
2026-01-29,2026,1,29,338,New Haven,New Haven,NEC,20.0,9-11,95.5353,112.0248,0.1378338,62.7357,-7.4248,47.9303,53.2262,20.0335,17.7133,23.635,28.887,26.8346,27.628,50.3224,52.7222,29.6338,35.9282,39.3191,40.0194
2026-01-29,2026,1,29,339,Air Force,Air Force,MWC,20.0,3-17,94.4359,111.3237,0.1315339,64.8304,-11.8343,49.1264,54.7302,22.0358,16.4216,22.6352,32.927,37.6126,35.9194,52.2154,54.3275,29.9332,36.9321,42.0133,38.1134
2026-01-29,2026,1,29,340,Jackson St.,Jackson St.,SWAC,20.0,6-14,99.0329,116.9317,0.129234,70.15,-7.425,45.5345,55.0312,20.0335,15.7261,24.9339,38.936,31.0282,41.2306,44.6351,57.6338,31.1302,34.3196,43.994,42.7278
2026-01-29,2026,1,29,341,Stonehill,Stonehill,NEC,21.0,7-14,91.8362,109.1179,0.1206341,66.2235,-10.8335,47.4316,49.496,21.7355,12.5362,29.2234,25.211,25.3359,33.0116,46.4325,47.854,32.5237,35.124,39.2193,33.02
2026-01-29,2026,1,29,342,Alcorn St.,Alcorn St.,SWAC,19.0,3-16,98.0337,116.5312,0.1198342,69.188,-10.6331,47.4316,58.0358,21.4354,17.9123,28.825,37.1352,25.3359,40.6292,45.0343,60.9363,34.614,35.3252,34.5288,37.4117
