school_name,team_name,conference,logo_filename,logo_source_url
Washington Huskies,Washington Huskies,,washington_huskies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Wisconsin Badgers,Wisconsin Badgers,,wisconsin_badgers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Cal Poly Mustangs,Cal Poly Mustangs,,cal_poly_mustangs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Cal State Bakersfield Roadrunners,Cal State Bakersfield Roadrunners,,cal_state_bakersfield_roadrunners.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png
Cal State Fullerton Titans,Cal State Fullerton Titans,,cal_state_fullerton_titans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png
Cal State Northridge Matadors,Cal State Northridge Matadors,,cal_state_northridge_matadors.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png
Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors,,hawaii_rainbow_warriors.png,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Long Beach State Beach,Long Beach State Beach,,long_beach_state_beach.png,https://a.espncdn.com/i/teamlogos/ncaa/500/299.png
UC Davis Aggies,UC Davis Aggies,,uc_davis_aggies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png
UC Irvine Anteaters,UC Irvine Anteaters,,uc_irvine_anteaters.png,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png
UC Riverside Highlanders,UC Riverside Highlanders,,uc_riverside_highlanders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png
UC San Diego Tritons,UC San Diego Tritons,,uc_san_diego_tritons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/28.png
UC Santa Barbara Gauchos,UC Santa Barbara Gauchos,,uc_santa_barbara_gauchos.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png
Campbell Fighting Camels,Campbell Fighting Camels,,campbell_fighting_camels.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Charleston Cougars,Charleston Cougars,,charleston_cougars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png
Drexel Dragons,Drexel Dragons,,drexel_dragons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2182.png
Elon Phoenix,Elon Phoenix,,elon_phoenix.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
Hampton Pirates,Hampton Pirates,,hampton_pirates.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
Hofstra Pride,Hofstra Pride,,hofstra_pride.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png
Monmouth Hawks,Monmouth Hawks,,monmouth_hawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
North Carolina A&T Aggies,North Carolina A&T Aggies,,north_carolina_at_aggies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png
Northeastern Huskies,Northeastern Huskies,,northeastern_huskies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png
Stony Brook Seawolves,Stony Brook Seawolves,,stony_brook_seawolves.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png
Towson Tigers,Towson Tigers,,towson_tigers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png
UNC Wilmington Seahawks,UNC Wilmington Seahawks,,unc_wilmington_seahawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/350.png
William & Mary Tribe,William & Mary Tribe,,william_mary_tribe.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png
Delaware Blue Hens,Delaware Blue Hens,,delaware_blue_hens.png,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Florida International Panthers,Florida International Panthers,,florida_international_panthers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Jacksonville State Gamecocks,Jacksonville State Gamecocks,,jacksonville_state_gamecocks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
Kennesaw State Owls,Kennesaw State Owls,,kennesaw_state_owls.png,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Liberty Flames,Liberty Flames,,liberty_flames.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Louisiana Tech Bulldogs,Louisiana Tech Bulldogs,,louisiana_tech_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,,middle_tennessee_blue_raiders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
Missouri State Bears,Missouri State Bears,,missouri_state_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
New Mexico State Aggies,New Mexico State Aggies,,new_mexico_state_aggies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png
Sam Houston Bearkats,Sam Houston Bearkats,,sam_houston_bearkats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
UTEP Miners,UTEP Miners,,utep_miners.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,,western_kentucky_hilltoppers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Cleveland State Vikings,Cleveland State Vikings,,cleveland_state_vikings.png,https://a.espncdn.com/i/teamlogos/ncaa/500/325.png
Detroit Mercy Titans,Detroit Mercy Titans,,detroit_mercy_titans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png
Green Bay Phoenix,Green Bay Phoenix,,green_bay_phoenix.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png
IU Indianapolis Jaguars,IU Indianapolis Jaguars,,iu_indianapolis_jaguars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png
Milwaukee Panthers,Milwaukee Panthers,,milwaukee_panthers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png
Northern Kentucky Norse,Northern Kentucky Norse,,northern_kentucky_norse.png,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png
Oakland Golden Grizzlies,Oakland Golden Grizzlies,,oakland_golden_grizzlies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png
Purdue Fort Wayne Mastodons,Purdue Fort Wayne Mastodons,,purdue_fort_wayne_mastodons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png
Robert Morris Colonials,Robert Morris Colonials,,robert_morris_colonials.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png
Wright State Raiders,Wright State Raiders,,wright_state_raiders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png
Youngstown State Penguins,Youngstown State Penguins,,youngstown_state_penguins.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png
Brown Bears,Brown Bears,,brown_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Columbia Lions,Columbia Lions,,columbia_lions.png,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png
Cornell Big Red,Cornell Big Red,,cornell_big_red.png,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png
Dartmouth Big Green,Dartmouth Big Green,,dartmouth_big_green.png,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png
Harvard Crimson,Harvard Crimson,,harvard_crimson.png,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Pennsylvania Quakers,Pennsylvania Quakers,,pennsylvania_quakers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png
Princeton Tigers,Princeton Tigers,,princeton_tigers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png
Yale Bulldogs,Yale Bulldogs,,yale_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png
Canisius Golden Griffins,Canisius Golden Griffins,,canisius_golden_griffins.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png
